excluded_subject,feature,median_difference,direction_consistency,rank_biserial,p_value
26398,maximum,-0.015000000000000013,0.8,-0.8666666666666667,0.125
26398,median,-0.01,0.8,-0.8666666666666667,0.125
26398,approximateEntropy,-0.05499999999999999,0.6,-0.8,0.25
26398,sampleEntropy,-0.03,0.6,-0.8,0.25
26398,fd_median,-0.07499999999999996,0.6,-0.06666666666666667,1.0
26502,maximum,-0.010000000000000009,0.8,-0.8666666666666667,0.125
26502,median,-0.01,0.8,-0.8666666666666667,0.125
26502,approximateEntropy,-0.05999999999999994,0.8,-1.0,0.125
26502,sampleEntropy,-0.065,0.8,-1.0,0.125
26502,fd_median,-0.345,0.8,-0.6,0.3125
27245,maximum,-0.015000000000000013,0.8,-0.8666666666666667,0.125
27245,fd_median,-0.345,0.8,-0.6,0.3125
27245,median,-0.01,0.6,-0.6,0.25
27245,approximateEntropy,-0.05499999999999999,0.6,-0.8,0.25
27245,sampleEntropy,-0.065,0.6,-0.8,0.25
57091,maximum,-0.010000000000000009,0.8,-0.8666666666666667,0.125
57091,median,-0.01,0.6,-0.6,0.25
57091,approximateEntropy,-0.05999999999999994,0.6,-0.8,0.25
57091,sampleEntropy,-0.03,0.6,-0.8,0.25
57091,fd_median,-0.345,0.6,-0.3333333333333333,0.625
59285,maximum,-0.015000000000000013,1.0,-1.0,0.0625
59285,approximateEntropy,-0.05999999999999994,0.8,-0.8666666666666667,0.125
59285,sampleEntropy,-0.065,0.8,-0.8666666666666667,0.125
59285,median,-0.01,0.6,-0.6,0.25
59285,fd_median,-0.07499999999999996,0.6,-0.3333333333333333,0.625
70447,maximum,-0.010000000000000009,0.8,-0.8666666666666667,0.125
70447,median,-0.01,0.6,-0.6,0.25
70447,approximateEntropy,-0.05499999999999999,0.6,-0.8,0.25
70447,sampleEntropy,-0.03,0.6,-0.8,0.25
70447,fd_median,-0.07499999999999996,0.6,-0.06666666666666667,1.0
