feature,q1,q3,iqr,lower_bound_k3,upper_bound_k3,n_iqr_outliers,percent_iqr_outliers,n_missing
lempelZivComplexity,2.0,23.0,21.0,-61.0,86.0,111,8.81,0
hjorthComplexity,1.65,2.27,0.6200000000000001,-0.2100000000000004,4.130000000000001,75,5.95,0
HRV_SDNN,39.612128055,84.75994288999999,45.14781483499999,-95.83131644999997,220.20338739499996,62,4.92,1
fd_standardDeviation,14.0775,24.4825,10.405000000000001,-17.137500000000003,55.697500000000005,52,4.13,0
fd_variance,198.2725,599.27,400.99749999999995,-1004.7199999999998,1802.2624999999998,52,4.13,0
meanAbsoluteValue,0.07,0.14,0.07,-0.14,0.35000000000000003,52,4.13,0
standardDeviation,0.13,0.23,0.1,-0.17000000000000004,0.53,52,4.13,0
variance,0.02,0.05,0.030000000000000002,-0.07,0.14,52,4.13,0
positiveToNegativeSampleRatio,0.81,1.71,0.8999999999999999,-1.8899999999999997,4.41,49,3.89,0
HRV_RMSSD,62.375315425,122.2011191,59.825803675,-117.10209560000001,301.678530125,47,3.73,1
fd_maximum,255.1875,773.0275,517.84,-1298.3325,2326.5475,46,3.65,0
fd_kurtosis,52.7225,395.525,342.8025,-975.6850000000001,1423.9325,40,3.17,0
signal_energy,12195.674875,14556.747360000001,2361.0724850000006,5112.457419999999,21639.964815000003,40,3.17,1
approximateEntropy,0.34,0.51,0.16999999999999998,-0.16999999999999998,1.02,36,2.86,0
HRV_MeanNN,511.22900849999996,753.9048617000001,242.67585320000012,-216.7985511000004,1481.9324213000004,33,2.62,1
numberOfZeroCrossing,991.5,1572.25,580.75,-750.75,3314.5,29,2.3,0
sampleEntropy,0.21,0.39,0.18000000000000002,-0.33000000000000007,0.93,29,2.3,0
fuzzyEntropy,0.19,0.31,0.12,-0.16999999999999998,0.6699999999999999,27,2.14,0
kurtosis,1.9475,9.7225,7.775,-21.3775,33.0475,27,2.14,0
entropyProfiled_variance_sampleEntropy,0.01,0.03,0.019999999999999997,-0.04999999999999999,0.09,20,1.59,0
R_amp_std,0.5751548655000001,1.0145093145,0.43935444899999987,-0.7429084814999996,2.3325726614999995,14,1.11,1
fd_minimum,0.0,0.02,0.02,-0.06,0.08,10,0.79,0
minimum,-1.0,-0.47,0.53,-2.59,1.12,6,0.48,0
maximum,0.44,0.8925000000000001,0.45250000000000007,-0.9175000000000002,2.25,5,0.4,0
katzFd,2.76,3.25,0.4900000000000002,1.2899999999999991,4.720000000000001,2,0.16,0
QRS_std,0.026980968,0.044769100000000006,0.017788132000000005,-0.026383428000000014,0.09813349600000001,1,0.08,5
distributionEntropy,0.78,0.87,0.08999999999999997,0.5100000000000001,1.14,1,0.08,0
fd_mean,5.7675,10.55,4.782500000000001,-8.580000000000002,24.8975,1,0.08,0
fd_median,1.54,4.342499999999999,2.8024999999999993,-6.867499999999999,12.749999999999998,1,0.08,0
fd_skewness,5.47,15.5125,10.0425,-24.657500000000002,45.64,1,0.08,0
higuchiFd,1.31,1.46,0.1499999999999999,0.8600000000000003,1.9099999999999997,1,0.08,0
renyiEntropy,-9.63,-8.065000000000001,1.5649999999999995,-14.325,-3.3700000000000028,1,0.08,0
skewness,-1.65,0.7475,2.3975,-8.8425,7.9399999999999995,1,0.08,0
spectralEntropy,4.35,5.23,0.8800000000000008,1.7099999999999973,7.870000000000003,1,0.08,0
HRV_pNN50,23.324697755,60.45394962,37.129251865,-88.06305784,171.841705215,0,0.0,1
QRS_mean,0.12949633300000002,0.1843388615,0.05484252849999999,-0.03503125249999994,0.34886644699999997,0,0.0,5
R_amp_mean,-0.9448327415,-0.0284578175,0.916374924,-3.6939575135,2.7206669545,0,0.0,1
detrendedFluctuation,0.47,0.62,0.15000000000000002,0.019999999999999907,1.07,0,0.0,0
entropyProfiled_average_sampleEntropy,0.04,0.06,0.019999999999999997,-0.01999999999999999,0.12,0,0.0,0
entropyProfiled_kurtosis_sampleEntropy,63.16,172.2025,109.04249999999999,-263.9675,499.3299999999999,0,0.0,0
entropyProfiled_maximum_sampleEntropy,1.59,3.14,1.55,-3.0600000000000005,7.790000000000001,0,0.0,0
entropyProfiled_median_sampleEntropy,0.01,0.02,0.01,-0.019999999999999997,0.05,0,0.0,0
entropyProfiled_skewness_sampleEntropy,6.72,11.535,4.815,-7.7250000000000005,25.98,0,0.0,0
entropyProfiled_standardDeviation_sampleEntropy,0.1,0.18,0.07999999999999999,-0.13999999999999996,0.41999999999999993,0,0.0,0
entropyProfiled_total_sampleEntropy,45.4875,82.155,36.667500000000004,-64.51500000000001,192.15750000000003,0,0.0,0
fd_bandPower,0.0,0.0,0.0,,,0,0.0,0
fisherInfo,0.44,0.53,0.09000000000000002,0.16999999999999993,0.8,0,0.0,0
hjorthMobility,0.38,0.55,0.17000000000000004,-0.13000000000000012,1.06,0,0.0,0
median,-0.01,0.02,0.03,-0.09999999999999999,0.11,0,0.0,0
permutationEntropy,2.17,2.5,0.33000000000000007,1.1799999999999997,3.49,0,0.0,0
petrosianFd,1.01,1.02,0.010000000000000009,0.98,1.05,0,0.0,0
singularValueDecompositionEntropy,1.01,1.21,0.19999999999999996,0.41000000000000014,1.8099999999999998,0,0.0,0
