threshold,cluster_id,n_features_in_cluster,representative_feature,representative_feature_family,representative_priority_score,representative_direction_consistency,representative_absolute_rank_biserial_effect_size,representative_lmm_agrees_with_paired_direction,representative_lmm_fdr_significant,features_in_cluster
0.85,rho_085_cluster_01,2,HRV_SDNN,HRV,4.953971904761905,0.55,0.1523809523809524,True,True,HRV_SDNN; HRV_RMSSD
0.85,rho_085_cluster_02,3,fuzzyEntropy,Entropy / complexity,6.444152046783626,0.65,0.49707602339181284,True,True,fuzzyEntropy; sampleEntropy; approximateEntropy
0.85,rho_085_cluster_03,2,entropyProfiled_skewness_sampleEntropy,Entropy-profile aggregates,3.4095238095238094,0.6,0.3047619047619048,True,False,entropyProfiled_skewness_sampleEntropy; entropyProfiled_kurtosis_sampleEntropy
0.85,rho_085_cluster_04,2,entropyProfiled_standardDeviation_sampleEntropy,Entropy-profile aggregates,4.65952380952381,0.55,0.5047619047619047,True,True,entropyProfiled_standardDeviation_sampleEntropy; entropyProfiled_variance_sampleEntropy
0.85,rho_085_cluster_05,2,fd_skewness,FD-summary aggregates,3.576190476190476,0.5,0.0380952380952381,True,True,fd_skewness; fd_kurtosis
0.85,rho_085_cluster_06,6,fd_variance,FD-summary aggregates,2.9714285714285715,0.6,0.08571428571428572,False,True,fd_variance; renyiEntropy; meanAbsoluteValue; variance; standardDeviation; fd_standardDeviation
0.85,rho_085_cluster_07,3,singularValueDecompositionEntropy,Entropy / complexity,3.8714285714285714,0.5,0.18571428571428572,False,True,singularValueDecompositionEntropy; hjorthMobility; fisherInfo
0.9,rho_09_cluster_01,2,HRV_SDNN,HRV,4.953971904761905,0.55,0.1523809523809524,True,True,HRV_SDNN; HRV_RMSSD
0.9,rho_09_cluster_02,3,fuzzyEntropy,Entropy / complexity,6.444152046783626,0.65,0.49707602339181284,True,True,fuzzyEntropy; sampleEntropy; approximateEntropy
0.9,rho_09_cluster_03,2,entropyProfiled_skewness_sampleEntropy,Entropy-profile aggregates,3.4095238095238094,0.6,0.3047619047619048,True,False,entropyProfiled_skewness_sampleEntropy; entropyProfiled_kurtosis_sampleEntropy
0.9,rho_09_cluster_04,2,fd_skewness,FD-summary aggregates,3.576190476190476,0.5,0.0380952380952381,True,True,fd_skewness; fd_kurtosis
0.9,rho_09_cluster_05,4,fd_variance,FD-summary aggregates,2.9714285714285715,0.6,0.08571428571428572,False,True,fd_variance; variance; standardDeviation; fd_standardDeviation
0.9,rho_09_cluster_06,3,singularValueDecompositionEntropy,Entropy / complexity,3.8714285714285714,0.5,0.18571428571428572,False,True,singularValueDecompositionEntropy; hjorthMobility; fisherInfo
